Stock_Number,Deletion,Chromosome,Background,Block,Raw_Phenotype,Numeric_Phenotype,Deletion_Set
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,1,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23689,Df(2R)BSC306,2R,ORE,3,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,1,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
23690,Df(2R)BSC307,2R,ORE,4,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,F,5,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
25431,Df(2R)BSC598,2R,ORE,1,G,4,BSC
