ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_M_B2_7540_2,ORE,sd,M,B2,7540,1.810163938
ORE_sd_M_B2_7540_3,ORE,sd,M,B2,7540,1.490389473
ORE_sd_M_B2_7541_1,ORE,sd,M,B2,7541,0.832247243
ORE_sd_M_B2_7541_2,ORE,sd,M,B2,7541,0.776850721
ORE_sd_M_B2_7541_3,ORE,sd,M,B2,7541,0.90592608
ORE_sd_M_B2_7541_4,ORE,sd,M,B2,7541,0.827075246
ORE_sd_M_B2_7541_5,ORE,sd,M,B2,7541,0.668177803
ORE_sd_M_B2_7541_6,ORE,sd,M,B2,7541,0.647247367
ORE_sd_M_B2_7544_1,ORE,sd,M,B2,7544,1.707899783
ORE_sd_M_B2_7544_2,ORE,sd,M,B2,7544,1.714671542
ORE_sd_M_B2_7544_3,ORE,sd,M,B2,7544,0.918826779
ORE_sd_M_B2_7544_4,ORE,sd,M,B2,7544,1.446884735
ORE_sd_M_B2_7544_5,ORE,sd,M,B2,7544,1.408753373
ORE_sd_M_B2_7544_6,ORE,sd,M,B2,7544,1.850524059
ORE_sd_M_B2_7554_1,ORE,sd,M,B2,7554,1.872342207
ORE_sd_M_B2_7554_2,ORE,sd,M,B2,7554,0.6431196
ORE_sd_M_B2_7554_3,ORE,sd,M,B2,7554,0.879254594
ORE_sd_M_B2_7554_4,ORE,sd,M,B2,7554,1.978528317
ORE_sd_M_B2_7554_5,ORE,sd,M,B2,7554,1.728459414
ORE_sd_M_B2_7554_6,ORE,sd,M,B2,7554,0.485675031
ORE_sd_M_B2_7585_1,ORE,sd,M,B2,7585,0.98877815
ORE_sd_M_B2_7585_2,ORE,sd,M,B2,7585,0.698554801
ORE_sd_M_B2_7585_3,ORE,sd,M,B2,7585,1.255354419
ORE_sd_M_B2_7585_4,ORE,sd,M,B2,7585,1.080875911
ORE_sd_M_B2_7585_5,ORE,sd,M,B2,7585,1.396946014
ORE_sd_M_B2_7585_6,ORE,sd,M,B2,7585,0.997666653
ORE_sd_M_B2_7606_1,ORE,sd,M,B2,7606,0.529492587
ORE_sd_M_B2_7606_2,ORE,sd,M,B2,7606,0.458877774
ORE_sd_M_B2_7606_3,ORE,sd,M,B2,7606,0.617268275
ORE_sd_M_B2_7606_4,ORE,sd,M,B2,7606,0.472869727
ORE_sd_M_B2_7606_5,ORE,sd,M,B2,7606,0.407561147
ORE_sd_M_B2_7606_6,ORE,sd,M,B2,7606,0.60414736
ORE_sd_M_B2_7611_1,ORE,sd,M,B2,7611,1.57553671
ORE_sd_M_B2_7611_2,ORE,sd,M,B2,7611,0.565636483
ORE_sd_M_B2_7611_3,ORE,sd,M,B2,7611,0.786290661
ORE_sd_M_B2_7611_4,ORE,sd,M,B2,7611,0.653109222
ORE_sd_M_B2_7625_1,ORE,sd,M,B2,7625,1.726716056
ORE_sd_M_B2_7625_2,ORE,sd,M,B2,7625,0.649919398
ORE_sd_M_B2_7625_3,ORE,sd,M,B2,7625,0.480591967
ORE_sd_M_B2_7625_4,ORE,sd,M,B2,7625,0.543608499
ORE_sd_M_B2_7625_5,ORE,sd,M,B2,7625,0.566788985
ORE_sd_M_B2_7625_6,ORE,sd,M,B2,7625,1.036887916
ORE_sd_M_B2_7637_1,ORE,sd,M,B2,7637,1.45918739
ORE_sd_M_B2_7637_2,ORE,sd,M,B2,7637,1.589050289
ORE_sd_M_B2_7637_3,ORE,sd,M,B2,7637,1.961897252
ORE_sd_M_B2_7637_4,ORE,sd,M,B2,7637,1.534144436
ORE_sd_M_B2_7637_5,ORE,sd,M,B2,7637,1.585404668
ORE_sd_M_B2_7637_6,ORE,sd,M,B2,7637,1.730844226
ORE_sd_M_B2_7640_1,ORE,sd,M,B2,7640,1.488821185
ORE_sd_M_B2_7640_2,ORE,sd,M,B2,7640,1.001340834
ORE_sd_M_B2_7640_3,ORE,sd,M,B2,7640,1.031019706
ORE_sd_M_B2_7640_4,ORE,sd,M,B2,7640,0.574008842
ORE_sd_M_B2_7640_5,ORE,sd,M,B2,7640,0.698001693
ORE_sd_M_B2_7640_6,ORE,sd,M,B2,7640,0.948650519
ORE_sd_M_B2_7677_1,ORE,sd,M,B2,7677,1.801765403
ORE_sd_M_B2_7677_2,ORE,sd,M,B2,7677,1.589039415
ORE_sd_M_B2_7677_3,ORE,sd,M,B2,7677,1.651905768
ORE_sd_M_B2_7677_4,ORE,sd,M,B2,7677,1.870849673
ORE_sd_M_B2_7677_6,ORE,sd,M,B2,7677,1.716344702
ORE_sd_M_B2_7686_1,ORE,sd,M,B2,7686,0.684643548
ORE_sd_M_B2_7686_2,ORE,sd,M,B2,7686,1.053171586
ORE_sd_M_B2_7686_3,ORE,sd,M,B2,7686,1.196969945
ORE_sd_M_B2_7686_4,ORE,sd,M,B2,7686,0.56613615
ORE_sd_M_B2_7686_5,ORE,sd,M,B2,7686,0.726439541
ORE_sd_M_B2_7686_6,ORE,sd,M,B2,7686,0.838722182
ORE_sd_M_B2_7724_1,ORE,sd,M,B2,7724,1.690782749
ORE_sd_M_B2_7724_2,ORE,sd,M,B2,7724,1.692481184
