Deletion,Background,Sex,Block,Numeric_Phenotype
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,5
6326,SAM,M,B2,5
6326,SAM,M,B2,5
6326,SAM,M,B2,5
6326,SAM,M,B2,5
6326,SAM,M,B2,5
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,4
6326,SAM,M,B3,5
6326,SAM,M,B3,5
6326,SAM,M,B3,5
7491,SAM,M,B2,4
7491,SAM,M,B2,5
7491,SAM,M,B2,6
7491,SAM,M,B2,6
7491,SAM,M,B2,7
7491,SAM,M,B2,7
7491,SAM,M,B2,7
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7492,SAM,M,B2,4
7503,SAM,M,B2,7
7503,SAM,M,B2,7
7503,SAM,M,B2,7
7503,SAM,M,B2,7
7503,SAM,M,B2,6
7503,SAM,M,B2,6
7505,SAM,M,B2,4
7505,SAM,M,B2,4
7505,SAM,M,B2,4
7505,SAM,M,B2,4
7505,SAM,M,B2,4
7505,SAM,M,B2,4
7505,SAM,M,B2,3
7505,SAM,M,B2,3
7516,SAM,M,B2,7
7516,SAM,M,B2,7
7516,SAM,M,B2,7
7516,SAM,M,B2,7
7516,SAM,M,B2,7
7516,SAM,M,B2,7
7516,SAM,M,B2,6
7516,SAM,M,B2,6
7524,SAM,M,B2,4
7524,SAM,M,B2,4
7524,SAM,M,B2,4
7524,SAM,M,B2,4
7524,SAM,M,B2,4
7524,SAM,M,B2,4
7525,SAM,M,B2,4
7525,SAM,M,B2,4
7525,SAM,M,B2,4
7525,SAM,M,B2,4
7525,SAM,M,B2,5
7525,SAM,M,B2,3
7529,SAM,M,B2,4
7529,SAM,M,B2,4
7529,SAM,M,B2,4
7529,SAM,M,B2,4
7529,SAM,M,B2,4
7529,SAM,M,B2,3
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B2,4
7540,SAM,M,B3,4
7540,SAM,M,B3,4
7540,SAM,M,B3,4
7540,SAM,M,B3,4
7540,SAM,M,B3,4
7540,SAM,M,B3,5
7540,SAM,M,B3,5
7541,SAM,M,B1,7
7541,SAM,M,B1,7
7541,SAM,M,B1,7
7541,SAM,M,B1,7
7541,SAM,M,B1,7
7541,SAM,M,B1,6
7541,SAM,M,B1,6
7541,SAM,M,B3,6
7541,SAM,M,B3,6
7541,SAM,M,B3,6
7541,SAM,M,B3,6
7541,SAM,M,B3,7
7541,SAM,M,B3,7
7544,SAM,M,B2,4
7544,SAM,M,B2,4
7544,SAM,M,B2,4
7544,SAM,M,B2,4
7544,SAM,M,B2,4
7544,SAM,M,B2,4
7554,SAM,M,B2,4
7554,SAM,M,B2,4
7554,SAM,M,B2,4
7554,SAM,M,B2,4
7554,SAM,M,B2,4
7554,SAM,M,B2,4
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,6
7585,SAM,M,B2,7
7585,SAM,M,B2,7
7611,SAM,M,B2,6
7611,SAM,M,B2,6
7611,SAM,M,B2,5
7611,SAM,M,B2,4
7611,SAM,M,B2,6
7611,SAM,M,B3,6
7611,SAM,M,B3,6
7611,SAM,M,B3,6
7611,SAM,M,B3,7
7611,SAM,M,B3,7
7611,SAM,M,B3,7
7611,SAM,M,B3,7
7625,SAM,M,B2,5
7625,SAM,M,B2,6
7625,SAM,M,B2,6
7625,SAM,M,B2,6
7625,SAM,M,B2,6
7677,SAM,M,B2,4
7677,SAM,M,B2,4
7677,SAM,M,B2,4
7677,SAM,M,B2,4
7677,SAM,M,B2,5
7686,SAM,M,B2,7
7686,SAM,M,B2,7
7686,SAM,M,B3,7
7686,SAM,M,B3,7
7686,SAM,M,B3,7
7686,SAM,M,B3,7
7686,SAM,M,B3,7
7686,SAM,M,B3,6
7686,SAM,M,B3,6
7724,SAM,M,B2,4
7724,SAM,M,B2,4
7724,SAM,M,B2,4
7724,SAM,M,B3,4
7724,SAM,M,B3,4
7724,SAM,M,B3,4
7724,SAM,M,B3,4
7724,SAM,M,B3,4
7724,SAM,M,B3,4
7724,SAM,M,B3,5
7724,SAM,M,B3,5
7741,SAM,M,B2,4
7741,SAM,M,B2,4
7741,SAM,M,B2,4
7741,SAM,M,B2,4
7741,SAM,M,B2,4
7741,SAM,M,B2,4
7795,SAM,M,B1,4
7795,SAM,M,B1,4
7795,SAM,M,B1,5
7795,SAM,M,B1,6
7795,SAM,M,B1,6
7795,SAM,M,B1,7
7795,SAM,M,B1,7
7795,SAM,M,B2,4
7795,SAM,M,B2,3
7795,SAM,M,B2,3
7834,SAM,M,B1,4
7834,SAM,M,B1,4
7834,SAM,M,B1,4
7834,SAM,M,B1,5
7834,SAM,M,B1,5
7834,SAM,M,B1,5
7834,SAM,M,B1,6
7845,SAM,M,B1,4
7845,SAM,M,B1,4
7845,SAM,M,B1,4
7845,SAM,M,B1,4
7845,SAM,M,B1,4
7845,SAM,M,B1,5
7845,SAM,M,B1,3
7845,SAM,M,B2,4
7845,SAM,M,B2,4
7845,SAM,M,B2,4
7845,SAM,M,B2,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7845,SAM,M,B3,4
7875,SAM,M,B1,4
7875,SAM,M,B1,4
7875,SAM,M,B1,5
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,4
7875,SAM,M,B2,5
7875,SAM,M,B2,3
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,4
7875,SAM,M,B3,5
7879,SAM,M,B1,5
7879,SAM,M,B1,5
7879,SAM,M,B1,6
7879,SAM,M,B1,6
7879,SAM,M,B1,7
7879,SAM,M,B1,7
7879,SAM,M,B1,7
7894,SAM,M,B1,4
7894,SAM,M,B1,4
7894,SAM,M,B1,4
7894,SAM,M,B1,4
7894,SAM,M,B1,4
7894,SAM,M,B1,3
7894,SAM,M,B2,4
7894,SAM,M,B2,4
7894,SAM,M,B2,5
7894,SAM,M,B2,5
7894,SAM,M,B3,4
7894,SAM,M,B3,4
7894,SAM,M,B3,4
7894,SAM,M,B3,4
7894,SAM,M,B3,4
7894,SAM,M,B3,4
7894,SAM,M,B3,5
7949,SAM,M,B2,6
7949,SAM,M,B2,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7949,SAM,M,B3,7
7960,SAM,M,B2,6
7960,SAM,M,B2,7
7960,SAM,M,B2,8
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7960,SAM,M,B3,7
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,6
7976,SAM,M,B2,7
7976,SAM,M,B2,7
7993,SAM,M,B2,4
7993,SAM,M,B2,4
7993,SAM,M,B2,5
7993,SAM,M,B2,5
7993,SAM,M,B2,6
7995,SAM,M,B2,3
7995,SAM,M,B2,3
7995,SAM,M,B2,3
7995,SAM,M,B2,3
7995,SAM,M,B2,4
7995,SAM,M,B2,4
7998,SAM,M,B2,4
7998,SAM,M,B2,4
7998,SAM,M,B2,4
7998,SAM,M,B2,4
7998,SAM,M,B2,4
7998,SAM,M,B2,5
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B1,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,7
6326,S1,M,B2,6
6326,S1,M,B2,6
6326,S1,M,B3,7
6326,S1,M,B3,7
6326,S1,M,B3,7
6326,S1,M,B3,7
6326,S1,M,B3,7
6326,S1,M,B3,7
6326,S1,M,B3,6
6326,S1,M,B3,6
6326,S1,M,B3,6
7491,S1,M,B2,7
7491,S1,M,B2,7
7491,S1,M,B2,7
7491,S1,M,B2,8
7491,S1,M,B3,7
7491,S1,M,B3,7
7491,S1,M,B3,7
7491,S1,M,B3,7
7491,S1,M,B3,7
7491,S1,M,B3,7
7491,S1,M,B3,7
7492,S1,M,B2,7
7492,S1,M,B2,7
7492,S1,M,B2,7
7492,S1,M,B2,7
7492,S1,M,B2,7
7492,S1,M,B2,7
7492,S1,M,B2,6
7503,S1,M,B2,8
