ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_F_B2_7529_5,ORE,sd,f,B2,7529,2.324183947
ORE_sd_F_B2_7529_6,ORE,sd,f,B2,7529,2.302304018
ORE_sd_F_B2_7540_1,ORE,sd,f,B2,7540,2.41994678
ORE_sd_F_B2_7540_2,ORE,sd,f,B2,7540,2.353276572
ORE_sd_F_B2_7540_3,ORE,sd,f,B2,7540,2.319850541
ORE_sd_F_B2_7540_4,ORE,sd,f,B2,7540,2.36552981
ORE_sd_F_B2_7540_5,ORE,sd,f,B2,7540,2.275288214
ORE_sd_F_B2_7540_6,ORE,sd,f,B2,7540,2.294461663
ORE_sd_F_B2_7541_1,ORE,sd,f,B2,7541,2.109784945
ORE_sd_F_B2_7541_2,ORE,sd,f,B2,7541,2.181130185
ORE_sd_F_B2_7541_3,ORE,sd,f,B2,7541,2.216252639
ORE_sd_F_B2_7541_4,ORE,sd,f,B2,7541,2.295313583
ORE_sd_F_B2_7541_5,ORE,sd,f,B2,7541,2.339336166
ORE_sd_F_B2_7541_6,ORE,sd,f,B2,7541,2.225671925
ORE_sd_F_B2_7544_1,ORE,sd,f,B2,7544,2.350901261
ORE_sd_F_B2_7544_2,ORE,sd,f,B2,7544,2.279728955
ORE_sd_F_B2_7544_3,ORE,sd,f,B2,7544,2.2906805
ORE_sd_F_B2_7544_4,ORE,sd,f,B2,7544,2.335307645
ORE_sd_F_B2_7544_5,ORE,sd,f,B2,7544,2.333400577
ORE_sd_F_B2_7544_6,ORE,sd,f,B2,7544,2.263827682
ORE_sd_F_B2_7554_1,ORE,sd,f,B2,7554,2.334165807
ORE_sd_F_B2_7554_2,ORE,sd,f,B2,7554,2.459598862
ORE_sd_F_B2_7554_3,ORE,sd,f,B2,7554,2.39298861
ORE_sd_F_B2_7554_4,ORE,sd,f,B2,7554,2.475950311
ORE_sd_F_B2_7554_5,ORE,sd,f,B2,7554,2.399488035
ORE_sd_F_B2_7554_6,ORE,sd,f,B2,7554,2.431091993
ORE_sd_F_B2_7585_1,ORE,sd,f,B2,7585,2.252567839
ORE_sd_F_B2_7585_2,ORE,sd,f,B2,7585,2.212814001
ORE_sd_F_B2_7585_3,ORE,sd,f,B2,7585,2.138531632
ORE_sd_F_B2_7585_4,ORE,sd,f,B2,7585,2.263720349
ORE_sd_F_B2_7585_5,ORE,sd,f,B2,7585,2.195945444
ORE_sd_F_B2_7606_1,ORE,sd,f,B2,7606,2.296412548
ORE_sd_F_B2_7606_2,ORE,sd,f,B2,7606,2.248770433
ORE_sd_F_B2_7606_3,ORE,sd,f,B2,7606,2.296069518
ORE_sd_F_B2_7606_4,ORE,sd,f,B2,7606,2.313758704
ORE_sd_F_B2_7606_5,ORE,sd,f,B2,7606,2.318698795
ORE_sd_F_B2_7606_6,ORE,sd,f,B2,7606,2.235405058
ORE_sd_F_B2_7611_1,ORE,sd,f,B2,7611,2.43302325
ORE_sd_F_B2_7611_2,ORE,sd,f,B2,7611,2.479252888
ORE_sd_F_B2_7611_3,ORE,sd,f,B2,7611,2.402536054
ORE_sd_F_B2_7611_4,ORE,sd,f,B2,7611,2.46035821
ORE_sd_F_B2_7611_5,ORE,sd,f,B2,7611,2.452585522
ORE_sd_F_B2_7611_6,ORE,sd,f,B2,7611,2.443872359
ORE_sd_F_B2_7625_1,ORE,sd,f,B2,7625,2.363765683
ORE_sd_F_B2_7625_2,ORE,sd,f,B2,7625,2.32001374
ORE_sd_F_B2_7625_3,ORE,sd,f,B2,7625,2.364791558
ORE_sd_F_B2_7625_4,ORE,sd,f,B2,7625,2.353443625
ORE_sd_F_B2_7625_5,ORE,sd,f,B2,7625,2.382981818
ORE_sd_F_B2_7625_6,ORE,sd,f,B2,7625,2.337613297
ORE_sd_F_B2_7637_1,ORE,sd,f,B2,7637,2.409192104
ORE_sd_F_B2_7637_2,ORE,sd,f,B2,7637,2.345301095
ORE_sd_F_B2_7637_3,ORE,sd,f,B2,7637,2.382836396
ORE_sd_F_B2_7637_4,ORE,sd,f,B2,7637,2.336656859
ORE_sd_F_B2_7637_5,ORE,sd,f,B2,7637,2.401546082
ORE_sd_F_B2_7637_6,ORE,sd,f,B2,7637,2.415678711
ORE_sd_F_B2_7640_1,ORE,sd,f,B2,7640,2.445976219
ORE_sd_F_B2_7640_2,ORE,sd,f,B2,7640,2.396823476
ORE_sd_F_B2_7640_3,ORE,sd,f,B2,7640,2.401553319
ORE_sd_F_B2_7640_4,ORE,sd,f,B2,7640,2.387888589
ORE_sd_F_B2_7640_5,ORE,sd,f,B2,7640,2.419388662
ORE_sd_F_B2_7640_6,ORE,sd,f,B2,7640,2.43328113
ORE_sd_F_B2_7677_1,ORE,sd,f,B2,7677,2.304160966
ORE_sd_F_B2_7677_2,ORE,sd,f,B2,7677,2.30410059
ORE_sd_F_B2_7677_3,ORE,sd,f,B2,7677,2.307275263
ORE_sd_F_B2_7677_4,ORE,sd,f,B2,7677,2.284235995
ORE_sd_F_B2_7677_5,ORE,sd,f,B2,7677,2.287512425
ORE_sd_F_B2_7677_6,ORE,sd,f,B2,7677,2.307923278
ORE_sd_F_B2_7686_1,ORE,sd,f,B2,7686,2.379176615
ORE_sd_F_B2_7686_2,ORE,sd,f,B2,7686,2.354718491
ORE_sd_F_B2_7686_3,ORE,sd,f,B2,7686,2.412939031
ORE_sd_F_B2_7686_4,ORE,sd,f,B2,7686,2.349652095
ORE_sd_F_B2_7686_5,ORE,sd,f,B2,7686,2.408946029
ORE_sd_F_B2_7686_6,ORE,sd,f,B2,7686,2.371440189
ORE_sd_F_B2_7724_1,ORE,sd,f,B2,7724,2.491539825
ORE_sd_F_B2_7724_2,ORE,sd,f,B2,7724,2.530652913
ORE_sd_F_B2_7724_3,ORE,sd,f,B2,7724,2.289603004
ORE_sd_F_B2_7737_1,ORE,sd,f,B2,7737,2.278356962
ORE_sd_F_B2_7737_2,ORE,sd,f,B2,7737,2.188467855
ORE_sd_F_B2_7737_3,ORE,sd,f,B2,7737,2.369963732
ORE_sd_F_B2_7737_4,ORE,sd,f,B2,7737,2.403992442
ORE_sd_F_B2_7737_5,ORE,sd,f,B2,7737,2.26964775
ORE_sd_F_B2_7737_6,ORE,sd,f,B2,7737,2.353499029
ORE_sd_F_B2_7741_1,ORE,sd,f,B2,7741,2.412016429
ORE_sd_F_B2_7741_2,ORE,sd,f,B2,7741,2.451456899
ORE_sd_F_B2_7741_3,ORE,sd,f,B2,7741,2.348828014
ORE_sd_F_B2_7741_4,ORE,sd,f,B2,7741,2.329182653
ORE_sd_F_B2_7741_5,ORE,sd,f,B2,7741,2.306364297
ORE_sd_F_B2_7741_6,ORE,sd,f,B2,7741,2.324519753
ORE_sd_F_B2_7752_1,ORE,sd,f,B2,7752,2.352852014
ORE_sd_F_B2_7752_2,ORE,sd,f,B2,7752,2.277959602
ORE_sd_F_B2_7752_3,ORE,sd,f,B2,7752,2.292597181
ORE_sd_F_B2_7752_4,ORE,sd,f,B2,7752,2.297806085
ORE_sd_F_B2_7752_5,ORE,sd,f,B2,7752,2.22042691
ORE_sd_F_B2_7752_6,ORE,sd,f,B2,7752,2.185619185
ORE_sd_F_B2_7845_1,ORE,sd,f,B2,7845,2.364685536
