Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,15,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,16,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,16,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,16,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,16,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,5,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],3R,ORE,17,4,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
